"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"1302","8/24/1997","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Summer","found inside","Non-selasphorus spp.","1302_ANHU"
"1303","8/25/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1303_ANHU"
"1304","9/8/1997","Released","Lindsey","No","BCHU","Female-like","adult-like",0,"Fall","found inside","Non-selasphorus spp.","1304_BCHU"
"1305","9/11/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","1305_ANHU"
"1306","9/12/1997","Died","Lindsey","Yes","ANHU","Female-like","adult-like",3,"Fall","found on the ground","Non-selasphorus spp.","1306_ANHU"
"1307","9/12/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","1307_ANHU"
"1308","9/20/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",1,"Fall","suspect torpor-like state","Non-selasphorus spp.","1308_ANHU"
"1309","9/22/1997","Died","Lindsey","Yes","ANHU","Female-like","adult-like",1,"Fall","caught by domestic animal","Non-selasphorus spp.","1309_ANHU"
"1310","10/4/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","1310_ANHU"
"1311","10/12/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",1,"Fall","caught by domestic animal","Non-selasphorus spp.","1311_ANHU"
"1312","10/14/1997","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","1312_ANHU"
"1313","10/15/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","1313_ANHU"
"1314","10/21/1997","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Fall","unknown","Non-selasphorus spp.","1314_ANHU"
"1315","10/22/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","1315_ANHU"
"1316","10/27/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","1316_ANHU"
"1317","11/18/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","1317_ANHU"
"1318","11/26/1997","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","1318_ANHU"
"1319","12/3/1997","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","1319_ANHU"
"1320","12/3/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","1320_ANHU"
"1321","12/13/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","1321_ANHU"
"1322","12/14/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","1322_ANHU"
"1323","12/18/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","1323_ANHU"
"1324","12/23/1997","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","1324_ANHU"
"1325","12/26/1997","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Winter","nest-related","Non-selasphorus spp.","1325_ANHU"
"1326","1/5/1998","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","1326_ANHU"
"1327","1/14/1998","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","1327_ANHU"
