"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"1","1/2/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","1_ANHU"
"2","1/2/1991","Released","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Winter","unknown","Non-selasphorus spp.","2_ANHU"
"3","1/4/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","suspect torpor-like state","Non-selasphorus spp.","3_ANHU"
"4","1/5/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",4,"Winter","unknown","Non-selasphorus spp.","4_ANHU"
"5","1/5/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","5_ANHU"
"6","1/5/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","6_ANHU"
"7","1/6/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","7_ANHU"
"8","1/7/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","8_ANHU"
"9","1/8/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","9_ANHU"
"10","1/11/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","unknown","Non-selasphorus spp.","10_ANHU"
"11","1/13/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","11_ANHU"
"12","1/14/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","12_ANHU"
"13","1/21/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","13_ANHU"
"14","1/24/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","14_ANHU"
"15","1/26/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","15_ANHU"
"16","1/27/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","16_ANHU"
"17","2/2/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",1,"Winter","found inside","Non-selasphorus spp.","17_ANHU"
"18","2/5/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","18_ANHU"
"19","2/13/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","19_ANHU"
"20","2/16/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","20_ANHU"
"21","3/1/1991","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","21_ANHU"
"22","3/3/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","22_ANHU"
"23","3/3/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","23_ANHU"
"24","3/9/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","24_ANHU"
"25","3/10/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","unknown","Non-selasphorus spp.","25_ANHU"
"26","3/10/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","unknown","Non-selasphorus spp.","26_ANHU"
"27","3/11/1991","Died","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Spring","found on the ground","Selasphorus spp.","27_ALHU"
"28","3/11/1991","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","28_ANHU"
"29","3/11/1991","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","29_ANHU"
"30","3/12/1991","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",2,"Spring","nest-related","Non-selasphorus spp.","30_ANHU"
"31","3/12/1991","Died","Lindsey","No","Selasphorus","Female-like","adult-like",1,"Spring","window hit","Selasphorus spp.","31_ALHU"
"32","3/13/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","32_ANHU"
"33","3/16/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","33_ANHU"
"34","3/18/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","34_ANHU"
"35","3/19/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","window hit","Non-selasphorus spp.","35_ANHU"
"36","3/20/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found inside","Non-selasphorus spp.","36_ANHU"
"37","3/20/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","window hit","Non-selasphorus spp.","37_ANHU"
"38","3/21/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","38_ANHU"
"39","3/21/1991","Died","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Spring","found on the ground","Selasphorus spp.","39_ALHU"
"40","3/24/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","40_ANHU"
"41","3/24/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","41_ANHU"
"42","3/24/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","unknown","Non-selasphorus spp.","42_ANHU"
"43","3/24/1991","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","unknown","Non-selasphorus spp.","43_ANHU"
"44","3/23/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","window hit","Non-selasphorus spp.","44_ANHU"
"45","3/26/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","45_ANHU"
"46","3/28/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","46_ANHU"
"47","3/29/1991","Released","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Spring","found on the ground","Selasphorus spp.","47_RUHU"
"48","4/1/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",1,"Spring","window hit","Non-selasphorus spp.","48_ANHU"
"49","4/1/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","49_ANHU"
"50","4/3/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","unknown","Non-selasphorus spp.","50_ANHU"
"51","4/4/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",1,"Spring","nest-related","Non-selasphorus spp.","51_ANHU"
"52","4/4/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","52_ANHU"
"53","4/5/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","53_ANHU"
"54","4/5/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","54_ANHU"
"55","4/5/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","55_ANHU"
"56","4/6/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",1,"Spring","unknown","Non-selasphorus spp.","56_ANHU"
"57","4/6/1991","Released","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Spring","window hit","Selasphorus spp.","57_RUHU"
"58","3/20/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","58_ANHU"
"59","3/29/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","unknown","Non-selasphorus spp.","59_ANHU"
"60","4/6/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",1,"Spring","unknown","Non-selasphorus spp.","60_ANHU"
"61","4/7/1991","Died","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Spring","found on the ground","Selasphorus spp.","61_ALHU"
"62","4/7/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","62_ANHU"
"63","4/8/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","63_ANHU"
"64","4/9/1991","Released","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Spring","caught by domestic animal","Selasphorus spp.","64_ALHU"
"65","4/11/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","unknown","Non-selasphorus spp.","65_ANHU"
"66","4/12/1991","Released","Lindsey","No","BCHU","Female-like","adult-like",0,"Spring","window hit","Non-selasphorus spp.","66_BCHU"
"67","4/14/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","suspect torpor-like state","Non-selasphorus spp.","67_ANHU"
"68","4/14/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","unknown","Non-selasphorus spp.","68_ANHU"
"69","4/14/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","unknown","Non-selasphorus spp.","69_ANHU"
"70","4/15/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","70_ANHU"
"71","4/15/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","71_ANHU"
"72","4/17/1991","Released","Lindsey","Yes","Selasphorus","Female-like","adult-like",6,"Spring","found on the ground","Selasphorus spp.","72_ALHU"
"73","4/18/1991","Died","Lindsey","No","Selasphorus","Female-like","adult-like",1,"Spring","window hit","Selasphorus spp.","73_ALHU"
"74","4/18/1991","Died","Lindsey","Yes","Selasphorus","Female-like","adult-like",0,"Spring","unknown","Selasphorus spp.","74_ALHU"
"75","4/18/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","unknown","Non-selasphorus spp.","75_ANHU"
"76","4/18/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","76_ANHU"
"77","4/15/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",2,"Spring","unknown","Non-selasphorus spp.","77_ANHU"
"78","4/17/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","78_ANHU"
"79","4/19/1991","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","unknown","Non-selasphorus spp.","79_ANHU"
"80","4/21/1991","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","caught by domestic animal","Non-selasphorus spp.","80_ANHU"
"81","4/24/1991","Died","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Spring","unknown","Selasphorus spp.","81_ALHU"
"82","4/27/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",2,"Spring","window hit","Non-selasphorus spp.","82_ANHU"
"83","4/27/1991","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","83_ANHU"
"84","4/27/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","84_ANHU"
"85","4/29/1991","Died","Lindsey","Yes","Selasphorus","Female-like","adult-like",1,"Spring","found on the ground","Selasphorus spp.","85_ALHU"
"86","4/28/1991","Released","Lindsey","Yes","ANHU","Female-like","adult-like",3,"Spring","found on the ground","Non-selasphorus spp.","86_ANHU"
"87","5/2/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","87_ANHU"
"88","5/4/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","unknown","Non-selasphorus spp.","88_ANHU"
"89","5/5/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","89_ANHU"
"90","5/6/1991","Died","Lindsey","Yes","Selasphorus","Female-like","adult-like",0,"Spring","unknown","Selasphorus spp.","90_ALHU"
"91","5/6/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",4,"Spring","unknown","Non-selasphorus spp.","91_ANHU"
"92","5/7/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","92_ANHU"
"93","5/7/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","93_ANHU"
"94","5/8/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","unknown","Non-selasphorus spp.","94_ANHU"
"95","5/8/1991","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",15,"Spring","unknown","Non-selasphorus spp.","95_ANHU"
"96","5/13/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","96_ANHU"
"97","5/15/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","97_ANHU"
"98","5/20/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","98_ANHU"
"99","5/23/1991","Released","Lindsey","Yes","ANHU","Female-like","adult-like",5,"Spring","unknown","Non-selasphorus spp.","99_ANHU"
"100","5/22/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",10,"Spring","unknown","Non-selasphorus spp.","100_ANHU"
"101","5/25/1991","Died","Lindsey","No","Selasphorus","unknown","Nestling",0,"Spring","nest-related","Selasphorus spp.","101_ALHU"
"102","5/25/1991","Released","Lindsey","No","Selasphorus","unknown","Nestling",0,"Spring","nest-related","Selasphorus spp.","102_ALHU"
"103","5/25/1991","Released","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","103_ANHU"
"104","5/25/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","104_ANHU"
"105","5/25/1991","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","unknown","Non-selasphorus spp.","105_ANHU"
"106","5/28/1991","Released","Lindsey","Yes","ANHU","Female-like","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","106_ANHU"
"107","5/29/1991","Died","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Spring","caught by domestic animal","Selasphorus spp.","107_ALHU"
"108","5/30/1991","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","108_ANHU"
"109","5/28/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","unknown","Non-selasphorus spp.","109_ANHU"
"110","5/31/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","110_ANHU"
"111","5/31/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","111_ANHU"
"112","6/1/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","112_ANHU"
"113","6/1/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","113_ANHU"
"114","6/2/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",1,"Summer","window hit","Non-selasphorus spp.","114_ANHU"
"115","6/3/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",1,"Summer","nest-related","Non-selasphorus spp.","115_ANHU"
"116","6/3/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",1,"Summer","nest-related","Non-selasphorus spp.","116_ANHU"
"117","6/3/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","117_ANHU"
"118","6/4/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","unknown","Non-selasphorus spp.","118_ANHU"
"119","6/5/1991","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Summer","nest-related","Non-selasphorus spp.","119_ANHU"
"120","6/10/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","120_ANHU"
"121","6/11/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","121_ANHU"
"122","6/13/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","unknown","Non-selasphorus spp.","122_ANHU"
"123","6/14/1991","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","123_ANHU"
"124","6/14/1991","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","124_ANHU"
"125","6/10/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","unknown","Non-selasphorus spp.","125_ANHU"
"126","6/17/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","126_ANHU"
"127","6/19/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","127_ANHU"
"128","6/20/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","128_ANHU"
"129","6/20/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","129_ANHU"
"130","6/20/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","130_ANHU"
"131","6/21/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",1,"Summer","window hit","Non-selasphorus spp.","131_ANHU"
"132","6/22/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","132_ANHU"
"133","6/24/1991","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","133_ANHU"
"134","6/25/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","134_ANHU"
"135","6/26/1991","Died","Lindsey","No","Selasphorus","Female-like","adult-like",1,"Summer","found on the ground","Selasphorus spp.","135_ALHU"
"136","6/26/1991","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","136_ANHU"
"137","6/26/1991","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","137_ANHU"
"138","6/25/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","window hit","Non-selasphorus spp.","138_ANHU"
"139","6/29/1991","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","139_ANHU"
"140","6/29/1991","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","140_ANHU"
"141","7/1/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","141_ANHU"
"142","7/2/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","142_ANHU"
"143","7/2/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","143_ANHU"
"144","7/6/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",31,"Summer","found on the ground","Non-selasphorus spp.","144_ANHU"
"145","7/9/1991","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","145_ANHU"
"146","7/11/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","unknown","Non-selasphorus spp.","146_ANHU"
"147","7/14/1991","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",2,"Summer","found on the ground","Non-selasphorus spp.","147_ANHU"
"148","7/12/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","148_ANHU"
"149","7/17/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","unknown","Non-selasphorus spp.","149_ANHU"
"150","7/18/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","150_ANHU"
"151","7/19/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",2,"Summer","window hit","Non-selasphorus spp.","151_ANHU"
"152","7/23/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","152_ANHU"
"153","7/23/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","window hit","Non-selasphorus spp.","153_ANHU"
"154","7/24/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",1,"Summer","unknown","Non-selasphorus spp.","154_ANHU"
"155","7/25/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","155_ANHU"
"156","7/27/1991","Died","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Summer","found on the ground","Selasphorus spp.","156_ALHU"
"157","7/28/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","157_ANHU"
"158","7/29/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","158_ANHU"
"159","8/1/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","unknown","Non-selasphorus spp.","159_ANHU"
"160","8/1/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","160_ANHU"
"161","4/29/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","unknown","Non-selasphorus spp.","161_ANHU"
"162","5/24/1991","Released","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","suspect torpor-like state","Non-selasphorus spp.","162_ANHU"
"163","8/8/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","163_ANHU"
"164","8/12/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","164_ANHU"
"165","8/14/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","165_ANHU"
"166","8/15/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","166_ANHU"
"167","8/16/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",1,"Summer","unknown","Non-selasphorus spp.","167_ANHU"
"168","8/19/1991","Released","Lindsey","No","BCHU","Female-like","adult-like",1,"Summer","caught by domestic animal","Non-selasphorus spp.","168_BCHU"
"169","8/19/1991","Died","Lindsey","No","Selasphorus","Female-like","adult-like",1,"Summer","found inside","Selasphorus spp.","169_ALHU"
"170","8/20/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","window hit","Non-selasphorus spp.","170_ANHU"
"171","8/21/1991","Died","Lindsey","Yes","Selasphorus","Female-like","adult-like",10,"Summer","unknown","Selasphorus spp.","171_ALHU"
"172","8/21/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","unknown","Non-selasphorus spp.","172_ANHU"
"173","8/26/1991","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","173_ANHU"
"174","8/27/1991","Died","Lindsey","No","BCHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","174_BCHU"
"175","9/8/1991","Released","Lindsey","No","BCHU","Female-like","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","175_BCHU"
"176","9/12/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","unknown","Non-selasphorus spp.","176_ANHU"
"177","9/14/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","window hit","Non-selasphorus spp.","177_ANHU"
"178","9/19/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","178_ANHU"
"179","9/19/1991","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","179_ANHU"
"180","9/18/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","unknown","Non-selasphorus spp.","180_ANHU"
"181","9/20/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","unknown","Non-selasphorus spp.","181_ANHU"
"182","9/26/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","182_ANHU"
"183","10/4/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","unknown","Non-selasphorus spp.","183_ANHU"
"184","10/26/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","184_ANHU"
"185","10/28/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","window hit","Non-selasphorus spp.","185_ANHU"
"186","11/11/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","186_ANHU"
"187","11/15/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",10,"Fall","window hit","Non-selasphorus spp.","187_ANHU"
"188","11/16/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","188_ANHU"
"189","12/19/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","189_ANHU"
"190","12/24/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found inside","Non-selasphorus spp.","190_ANHU"
"191","12/24/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found inside","Non-selasphorus spp.","191_ANHU"
"192","1/2/1992","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Winter","nest-related","Non-selasphorus spp.","192_ANHU"
"193","1/9/1992","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","193_ANHU"
"194","1/15/1992","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Winter","found inside","Non-selasphorus spp.","194_ANHU"
"195","1/18/1992","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","195_ANHU"
"196","1/18/1992","Died","Lindsey","Yes","ANHU","Female-like","adult-like",2,"Winter","caught by domestic animal","Non-selasphorus spp.","196_ANHU"
"197","1/18/1992","Died","Lindsey","Yes","ANHU","Female-like","adult-like",2,"Winter","caught by domestic animal","Non-selasphorus spp.","197_ANHU"
"198","1/16/1992","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","198_ANHU"
"199","1/17/1992","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","unknown","Non-selasphorus spp.","199_ANHU"
"200","1/31/1992","Released","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","200_ANHU"
